tags,gloss,type,subcategories
"chin
jaw","chin, jaw",medial,
circle,circle,medial,
claw,claw,medial,
"claw
hoof
nail","claw, hoof, nail",medial,
"claw
nail","claw, nail",medial,
cliff,cliff,medial,
climb,climb,medial,
cloth,cloth,medial,
"cloth
leather","cloth, leather",medial,
"cloth
hide
sheet","cloth, sheet, hide",medial,
"cloth
material (woven)","cloth, woven material",medial,
clothing,clothes,medial,
clothing,clothing,medial,
"clothing
robe","clothing, robe",medial,
cloud,cloud,medial,
cloud,clouds,medial,
"collarbone
feather","collarbone, feather",medial,
object (compact),compact object,medial,
cook,cook,medial,
"count
read
send","count, read, send",medial,
"covered
infested","...-y, covered or infested with ...",medial,
"covered
infested","…-y, covered with, infested with",medial,
cow,cow,medial,
crawl,crawl,medial,
cross uncle,cross uncle,medial,
crotch,crotch,medial,
cry,cry,medial,
daughter,daughter,medial,
dawn,dawn,medial,
day,day,medial,
day,day (meteorological event),medial,
day,day (time unit),medial,
"day
sky","day, sky",medial,
"day
weather","day, weather",medial,
day,days,medial,
defecate,defecate,medial,
relationship,denotes relationship,medial,
depth (water),depths of water,medial,
design,design,medial,
dimension,dimension,medial,
movement (directional),directional movement,medial,
dirt,dirt,medial,
"dirt
dirtiness","dirt, dirtiness",medial,
"dirt
earth","dirt, earth",medial,
dish,dish,medial,
dog,dog,medial,
"dog
horse","dog, horse",medial,
"dog
puppy","dog, puppy",medial,
door,door,medial,
drag,drag,medial,
"dress
skirt","dress, skirt",medial,
dress,dressed,medial,
drum,drum,medial,
dry,dry,medial,
wood (dry),dry wood,medial,
duck,duck,medial,
duck ,duck ,medial,
dung,dung,medial,
"dwell
dwelling
house","dwell, dwelling",medial,
"dwelling
house",dwelling,medial,
"dwelling
house","dwelling, house",medial,
ear,ear,medial,
ear ,ear ,medial,
ear,ear(s),medial,
ear ,ears,medial,
"earth
ground
place","earth, ground, place",medial,
"earth
soil","earth, soil",medial,
egg,egg,medial,
elbow,elbow,medial,
elbow ,elbow ,medial,
"elbow
rod (engine)","elbow, rod (of engine)",medial,
brother (older),elder brother ,medial,
sister (older),elder sister ,medial,
elk,elk,medial,
"elongated
row
string","elongated thing, string, row",medial,
liquid (enclosed),enclosed liquid,medial,
"bowels
entrails","entrails, bowels",medial,
object (equi-dimensional),equi-dimensional object,medial,
escarpement,escarpement,medial,
excrement,excrement,medial,
"be
exist","exist, be",medial,
eye,eye,medial,
"eye
face","eye, face",medial,
"eye
see","eye, see",medial,
"eye
vision","eye, vision",medial,
"eye
smoke (N)
white","eye, white, smoke",medial,
eye,eye(s),medial,
eyeball,eyeball,medial,
eyebrow,eyebrow,medial,
"eyebrow
eyelash","eyebrow, eyelash",medial,
eye,eyes,medial,
face,face,medial,
"direction
face (V)",face in a certain direction,medial,
"corn
face","face, corn",medial,
"eye
face","face, eye",medial,
"face
neck","face, neck",medial,
facing,facing,medial,
snow (fallen),fallen snow,medial,
father,father,medial,
father,father ,medial,
father-in-law,father-in-law,medial,
"father
father's brother
uncle (paternal)","father, paternal uncle, father's brother",medial,
feather,feather,medial,
"feather
quill","feather, quill",medial,
feet,feet,medial,
fellow,fellow,medial,
fellow,(my) fellow (so-and-so),medial,
fellow,fellow-,medial,
"particles (fine)
sand","fine particles, sand",medial,
finger,finger,medial,
"finger
hand","finger, hand",medial,
"claw
finger
hand","finger, hand, claw",medial,
"finger
toe","finger, toe",medial,
"claw
finger
toe","finger, toe, claw",medial,
finger,finger(s),medial,
"claw
fingernail
hoof
nail (finger)","(finger) nail, claw, hoof",medial,
fire,fire,medial,
"fire
heat","fire, heat",medial,
"fire
flame
heat","fire, heat, flame",medial,
firewood,(fire)wood,medial,
fish,fish,medial,
tail (fish),fish tail,medial,
gill (fish),fish's gill,medial,
fist,fist,medial,
"cut up
flay",flay and cut up,medial,
"flesh
muscle
strength","flesh, muscle, strength",medial,
fling,fling,medial,
"flood
rinse ","flood, rinse ",medial,
flour,flour,medial,
flower,flower,medial,
liquid (flowing),flowing liquid,medial,
"foliage
leaf","foliage, leaves",medial,
follow,follow,medial,
food,food,medial,
foot,foot,medial,
foot,"foot, feet",medial,
"foot
tire",foot; of a vehicle: tire,medial,
forehead,forehead,medial,
"brush
forest","forest, brush",medial,
liquid (free-flowing),free-flowing liquid,medial,
friend,friend,medial,
"brother-in-law
friend
man's sister's husband
wife's brother","friend; brother in law (of a man), man's sister's husband, wife's brother",medial,
full,full,medial,
full (of liquid),full (of liquid),medial,
fur,fur,medial,
garment,garment,medial,
"crotch
genital area","genital area, crotch",medial,
gland,gland,medial,
"god
spirit","god, spirit",medial,
godchild,godchild,medial,
"godfather
godmother","godfather, godmother",medial,
grain,grain,medial,
grandchild,grandchild,medial,
grandfather,grandfather,medial,
grandfather ,grandfather ,medial,
grandmother,grandmother,medial,
granular,granular,medial,
grass,grass,medial,
"grass
hay
herb","grass, hay; herbs",medial,
"grass
plant","grass, plants",medial,
"grass
plant (small)
weed","grass, weeds, small plants",medial,
grease,grease,medial,
"green
greenery
leaf","green, greenery, leaf",medial,
grind,grind,medial,
"barehand
grip","grip, barehand",medial,
groin,groin,medial,
ground,ground,medial,
"earth
ground
land","ground, earth, land",medial,
"earth
ground
land","ground, land, earth",medial,
"event
ground
land","ground, land, event",medial,
gun,gun,medial,
hair,hair,medial,
hair ,hair ,medial,
hair (head),hair of head,medial,
hair (head),"hair of the head, head",medial,
"beard
hair (face)
mustache","hair on face: beard, mustache, etc.",medial,
"foliage
hair
leaf","hair, leaf, foilage",medial,
"foliage
hair
leaf","hair, leaf, foliage",medial,
hand,hand,medial,
"finger
hand","hand, finger",medial,
"claw
finger
hand","hand, finger, claw",medial,
hand,hand1,medial,
hand,hand2,medial,
handed,handed,medial,
handiwork,"handiwork (weave, knit, braid, etc.)",medial,
handle,handle,medial,
"gunstock
handle (N)","handle, gunstock",medial,
hat,hat,medial,
haul,haul,medial,
haunch,"haunch, part of the body which is sat upon",medial,
hay,hay,medial,
head,head,medial,
head ,head ,medial,
"face
head","head, face",medial,
"hair
head","head, hair",medial,
"block (engine)
head","head; of an engine: block, head",medial,
"hair
head",head/hair,medial,
"hat
headgear","headgear, hat",medial,
heart,heart,medial,
heart ,heart ,medial,
"battery
heart",heart; (electric) battery,medial,
heel,heel,medial,
heel ,heel ,medial,
"fur
hide","hide, fur",medial,
hill,hill,medial,
"hill
mountain","hill, mountain",medial,
"hill
mountain","hill, mountain ",medial,
hip,hip,medial,
hole,hole,medial,
hole,hole (in general),medial,
"dwelling
home
house","home, dwelling",medial,
hoof,hoof,medial,
horn,horn,medial,
"antler
horn","horn, antler",medial,
"braid (N)
horn",horn; braid (of hair),medial,
"antler
horn",horn(s); antler,medial,
horse,horse,medial,
"clock
hour","hour, clock",medial,
house,house,medial,
"building
house","house, building",medial,
"floor
house","house, floor",medial,
humor,humor,medial,
husband,husband,medial,
husband ,husband ,medial,
husband ,husband (archaic or impolite),medial,
ice,glace,medial,
ice,ice,medial,
ground,in relation to the ground,medial,
space,intervening space,medial,
intestine,intestines,medial,
intestine,intestines ,medial,
island,island,medial,
jaw,jaw,medial,
joint,joint(s),medial,
"kernel
stone (fruit)","kernel, stone (of fruit)",medial,
kettle,kettle,medial,
kidney,kidney,medial,
kidney ,kidney ,medial,
knee,knee,medial,
knee ,knee ,medial,
knife,knife,medial,
knock,knock,medial,
"hit
knock
thump","knock??, thump??, hit??",medial,
land,land,medial,
"field
land","land, field",medial,
landform,landform,medial,
larynx,larynx,medial,
laugh,laugh,medial,
laugh at,laugh at s.o.,medial,
leaf,leaf,medial,
"bark (N)
leaf","leaf, bark ",medial,
leg,leg,medial,
"foot
leg","leg, foot",medial,
"axle
leg",leg; of a vehicle: axle,medial,
leg,leg(s),medial,
"legging
stocking","legging, stocking",medial,
"body
leg","legs, body",medial,
leg,legs(s),medial,
lifestyle,lifestyle,medial,
light,light,medial,
line,line,medial,
lip,lip,medial,
"liquid
water",liquid,medial,
"liquid
water","liquid, water",medial,
"liquid
water",liquid; body of water,medial,
liver,liver,medial,
"load (V)
pack on","load, pack on",medial,
located,located,medial,
"appearance
look (N)","look, appearance",medial,
louse,louse,medial,
louse,louse (?),medial,
lung,lung,medial,
lung,lungs,medial,
main,main,medial,
"male
man",male,medial,
friend (male),(male) friend,medial,
"male
man","male, man ",medial,
"male
man",man,medial,
"mark
write","mark, write",medial,
marsh,marsh,medial,
"aunt (maternal)
mother's sister","maternal aunt, mother's sister",medial,
"uncle (maternal)
mother's brother","maternal uncle, mother's brother",medial,
"flesh
meat","meat, flesh",medial,
medicine,medicine,medial,
activity (mental),mental activity,medial,
process (mental),mental process,medial,
metal,metal,medial,
"metal
money","metal, money",medial,
"mind
thought","mind, thought",medial,
mineral,"minéral (montagne, rocher)",medial,
mink,mink,medial,
"light
mist
smoke","mist, smoke, light",medial,
"moccasin
shoe",moccasin,medial,
"moccasin
shoe","moccasin, shoe",medial,
pace (moderate),"moderate pace, medium pace",medial,
money,money,medial,
"mood
spirit","mood, spirit ",medial,
moon,moon,medial,
morning,morning,medial,
mother,mother,medial,
mother-in-law,mother in law,medial,
mother-in-law,mother-in-law,medial,
mountain,montagne,medial,
mountain,mountain,medial,
mouth,mouth,medial,
"lip
mouth","mouth, lips",medial,
movement (transverse),movement across transverse surface,medial,
movement (through air),movement through air,medial,
mud,mud,medial,
"mud
object (sticky)","mud, sticky objects",medial,
muscle ,muscle ,medial,
muskeg,muskeg,medial,
muskrat,muskrat,medial,
nail,nail,medial,
"fingernail
toenail",nail (of a finger or toe),medial,
"claw
nail","nail, claw",medial,
"claw
hoof
nail","nail, claw, hoof",medial,
"claw
hoof
nail","nail, claw, hoof ",medial,
"claw
fingernail
nail
toenail","nail(s), fingernail(s), toenail(s), claw(s)",medial,
name,name,medial,
nape,nape,medial,
nape,nape (back of neck),medial,
nape,nape of neck ,medial,
"buffalo hump
nape","nape, buffalo hump",medial,
navel,navel,medial,
"navel
umbilical cord",navel cord,medial,
,NG,medial,
neck,neck,medial,
neice,neice,medial,
nephew,nephew,medial,
net,net,medial,
woman (new),new woman,medial,
"nephew
niece","nephew, niece ",medial,
,NG,medial,
night,night,medial,
nipple,nipple,medial,
nipple,nipple (of breast),medial,
nipple,nipple(s),medial,
noise,noise,medial,
"make (noise)
noise","noise, making noise",medial,
nose,nose,medial,
"nose
nostril","nose, nostril",medial,
nostril,nostril,medial,
nostril,nostril(s),medial,
nut,nut,medial,
oil,oil,medial,
brother (older),older brother,medial,
sister (older),older sister,medial,
on (horseback),on horseback,medial,
"hole
opening","opening, hole",medial,
otter,otter,medial,
pack,pack,medial,
"bag
pack (N)","pack, bag",medial,
paddle,paddle,medial,
"page
paper","page, paper. of something made of paper",medial,
palate,palate,medial,
palate,palate of the mouth,medial,
pants,pants,medial,
parent ,parent ,medial,
parent ,parents,medial,
"house
yard","part of a house, yard",medial,
throat,part of throat ??,medial,
pass,pass,medial,
"aunt (paternal)
father's sister","paternal aunt, father's sister",medial,
path,path,medial,
pebble,pebbles,medial,
"brush
pen","pen, brush (?)",medial,
penis,penis,medial,
penis,penis ,medial,
pet,pet,medial,
"board
wood","piece of wood, board",medial,
place,place,medial,
"house
place","place, house",medial,
"place
space","place, space",medial,
"arrangement
placement","placement, arrangement",medial,
plume,plume,medial,
pool,pool,medial,
"popliteal
back (of knee)",popliteal (back of knee),medial,
"animal (domestic)
possession","possession (of animate gender), especially domestic animal",medial,
potato,potato,medial,
wood (processed),processed wood,medial,
wood (processed),"processed, wood",medial,
prone,prone,medial,
hair (pubic),pubic hair,medial,
tail (quadruped),quadruped's tail,medial,
rabbit,rabbit,medial,
rain,rain,medial,
"rain (N)
water","rain, water",medial,
red ,red ,medial,
wall (reed),reed wall,medial,
rib,rib,medial,
"apart
rip
strip",rip as in strips or apart,medial,
river,river,medial,
road,road,medial,
robe,robe,medial,
rock,rock,medial,
"object (rounded)
rock","rock, rounded object",medial,
rock,rocks,medial,
rocky,rocky,medial,
escarpment (rocky),escarpement rocheux,medial,
"hill (rocky)
outcropping (rocky)","rocky outcropping, rocky hill",medial,
roll,roll,medial,
root,root,medial,
rope,rope,medial,
rub,rub,medial,
rump,rump,medial,
"anus
rump","rump, anus",medial,
"anus
ass
butt
buttocks
rump","rump, buttocks, anus, ass, butt",medial,
"rump
tail","rump, tail",medial,
run,run,medial,
bundle (sacred),sacred bundle,medial,
saliva,saliva,medial,
sand,sand,medial,
"bank
sand","sand, bank",medial,
savannah,savane,medial,
scale (fish),scale of fish,medial,
scalp,scalp,medial,
see,see,medial,
"pair
set","set, pair",medial,
shape,shape,medial,
shin,shin,medial,
shine,shine,medial,
"blouse
shirt","shirt, blouse",medial,
shoe,shoe,medial,
"moccasin
shoe","shoe, moccasin",medial,
"moccasin
shoe","shoe(s), moccasin(s)",medial,
short,short,medial,
shoulder,shoulder,medial,
shoulder,shoulder ,medial,
shoulder ,shoulder (?),medial,
shoulder blade,shoulder-blade,medial,
shoulder blade,shoulderblade,medial,
"shrub
willow","shrub, willow",medial,
sibling-in-law (opposite sex),sibling-in-law of opposite sex,medial,
sibling-in-law (same sex),sibling-in-law of same sex,medial,
sinew,sinew,medial,
sing,sing,medial,
hair (head),(single) hair (of the head),medial,
sister-in-law,sister-in-law,medial,
"brother-in-law (of woman)
husband's brother
man's brother's wife
sister-in-law (of man)
wife's sister
woman's sister's husband","sister-in-law (of a man), man's brother's wife, wife's sister, brother-in-law (of a woman), woman's sister's husband, husband's brother",medial,
"sister-in-law (of woman)
woman's brother's wife
husband's sister","sister-in-law (of a woman), woman's brother's wife, husband's sister",medial,
skin,skin,medial,
"scale
shell
skin","skin, shell, scale",medial,
sky,sky,medial,
sky ,sky ,medial,
sleeve,sleeve,medial,
smell,smell,medial,
"smell
taste","smell, taste",medial,
"fire
smoke","smoke, fire",medial,
smoke,smokes,medial,
"mucus
nose (runny)
snot","snot, mucus; runny nose",medial,
snow,snow,medial,
snow ,snow ,medial,
snow ,snow (fallen),medial,
snow (white),"snow, white",medial,
snowshoe,snowshoe,medial,
solid,solid,medial,
"horizontal position
solid","solid, horizontal position",medial,
son,son,medial,
"daughter-in-law
son-in-law","son-in-law, daughter-in-law",medial,
"soul
spirit","soul, spirit ",medial,
sound,sound,medial,
space,space,medial,
"place
space","space, place",medial,
spine,spine,medial,
"backbone
spine","spine, backbone",medial,
animal (spirit),spirit animal,medial,
animal (spirit),"spirit animal, subject of sacred stories",medial,
"shadow
spirit","spirit, shadow",medial,
stand,stand,medial,
stick,stick,medial,
"stick
tree (evergreen)","sticks, evergreen trees",medial,
stomach,stomach,medial,
stone,stone,medial,
story,story,medial,
"story
text","story, text",medial,
streaked,streaked,medial,
stretch (of ground),stretch (of ground),medial,
stretch (of time),stretch (of time),medial,
stretch (of ground),stretch [of ground],medial,
stretch (of time),stretch [of time],medial,
stretch (N),stretch of,medial,
stretch (of ground),stretch of ground,medial,
"stretch (of ground, time)",stretch of ground or time,medial,
stretch (of time),stretch of time,medial,
sun,sun,medial,
swamp,swamp,medial,
movement (swift),swift movement,medial,
tail,tail,medial,
tail ,tail ,medial,
tail (animal),tail (animal's),medial,
tail (bird),tail (bird's),medial,
"fin (fish)
tail (fish)",tail and fin (of fish),medial,
"tail
tailbone","tailbone, tail",medial,
out (of position),take out of position,medial,
talk,talk,medial,
taste,taste,medial,
tear (eye),teary eyed,medial,
tell,tell,medial,
temple (head),temple (of head),medial,
testicle,testicle,medial,
testicle,testicles,medial,
thigh,thigh,medial,
thigh,thigh(s),medial,
"flat
thin","thin, flat",medial,
think,think,medial,
thorax,thorax,medial,
"intensity
thoroughness","thoroughness, intensity",medial,
thought,thought,medial,
"hour
thousand","mille, heure",medial,
throat,throat,medial,
throat ,throat ,medial,
throw,throw,medial,
"fling
throw","throw, fling",medial,
tie,tie,medial,
time,time,medial,
time,time passage,medial,
shoulder (V),to shoulder,medial,
tongue,tongue,medial,
tooth,tooth,medial,
tooth,"tooth, teeth",medial,
top (of head),(top of) head,medial,
top (of head),top of head,medial,
"brain
hair
top (of head)","top of head, brain, hair",medial,
"sell
trade","trade, sell door to door",medial,
tree,tree,medial,
"tree
wood (green)","tree, green wood",medial,
"metal
object (long, stiff)
tree","tree, long stiff object, metal",medial,
"stick
tree","tree, stick",medial,
"tree
wood","tree, wood",medial,
trot,trot (move by lifting feet high),medial,
trousers,trousers,medial,
"limb (animal, tree)
trunk","trunks, limbs of trees or animals",medial,
"potato
tuber","tuber, potato",medial,
umbilical cord,umbilical cord ,medial,
"navel
umbilical cord","umbilical cord, navel",medial,
uncle,uncle,medial,
"plant (N)
underwood","underwood, plant",medial,
urinate,urinate,medial,
use,use,medial,
utility ,utility ,medial,
vagina,vagina,medial,
"price
value","value, price",medial,
vase,vase,medial,
"conveyance
vehicle","vehicle, conveyance",medial,
very,very,medial,
viscous,viscous,medial,
substance (viscous),viscous substance,medial,
vocative,vocative,medial,
voice,voice,medial,
vulva,vulva,medial,
wade (through snow),wade through snow,medial,
wade (through water),wade through water,medial,
waist,waist,medial,
walk,walk,medial,
water,water,medial,
water,water containing particulate material,medial,
"liquid
water","water, liquid",medial,
"liquid
water","water, liquid ",medial,
weather,weather,medial,
width,width,medial,
wife,wife,medial,
wife,wife (archaic or impolite),medial,
"spouse
wife","wife, spouse",medial,
wind,wind,medial,
wing,wing,medial,
wing ,wing ,medial,
"armpit
wing",wing; armpit,medial,
winter,winter,medial,
"winter
year","winters, years",medial,
woman,woman,medial,
"wife
woman","woman, wife",medial,
wood,wood,medial,
"board
wood","wood, board ",medial,
"wood
wooden","wood, something wooden",medial,
"stick
wood
wooden","wood, stick, wooden surface",medial,
"sticklike
wood","wood, sticklike",medial,
"timber
wood","wood, timber",medial,
"tree
wood","wood, tree",medial,
"bush
tree
wood","wood, tree, bush",medial,
"solid
tree
wood","wood, tree, solid",medial,
"root
wood",wood/root(?),medial,
woods,woods,medial,
work,work,medial,
year,year,medial,
"winter
year","year, winter",medial,
year,years,medial,
"brother (younger)
sister (younger)",younger brother or sister,medial,
sibling (younger),younger sibling,medial,
NOUN (ABSTRACT),abstract noun,final,N
NOUN (ABSTRACT),forms abstract nouns,final,N
ANTIPASSIVE,action on a general goal,final,AI
INDEFINITE OBJECT,action on indefinite animate object,final,AI
INDEFINITE OBJECT,action on indefinite inanimate object,final,II
INDEFINITE OBJECT,verbs of action on indefinite object,final,AI
INDEFINITE OBJECT,action on indefinite animate objects,final,AI
INDEFINITE OBJECT,action on indefinite inanimate objects,final,AI
INDEFINITE OBJECT,animate indefinite (implied object),final,AI
INDEFINITE OBJECT,inanimate,final,"TI, II"
TRANSITIVE,action on objects,final,
TRANSITIVE,action relative to an object,final,"TA, TI"
ADVERBIALIZER,adverbializer,final,ADV
"actor
AGENT",actor,final,N
AGENT,agent,final,N
AGENT,agent noun,final,N
AGENT,agentive,final,"N, AI"
AI+O,AI+O,final,
ANTIPASSIVE,antip.,final,"II, AI"
"APPLICATIVE
BENEFACTIVE",applicative benefactive,final,
APPLICATIVE,APPL,final,TA
APPLICATIVE,applicative,final,"AI, TA, TI, TI1"
"on
at
about
APPLICATIVE","on, at, or about it (applicative)",final,TI
ATTRIBUTIVE,attributive,final,"V, AI, II"
"APPLICATIVE
BENEFACTIVE",benefactive/applicative,final,TA
BENEFACTIVE,benefactive,final,"TA, TI"
BENEFACTIVE,benefactive and related uses,final,TA
"for
substitute
BENEFACTIVE","for, benefactive, substitutive TA final",final,TA
"dress (V)
CAUSATIVE","dress him, get him dressed",final,TA
CAUSATIVE,CAUS,final,TA
"feel (hot)
heat
hot
intoxicated
CAUSATIVE
INCHOATIVE","be (of heat); be hot, feel hot (referring to discomfort); be intoxicated; make or get (of heat, causative with medials)",final,AI
"cold
feel (cold)
CAUSATIVE
INCHOATIVE","be (of cold); be cold, feel cold (referring to discomfort); make or get (of cold, causative with medials)",final,AI
"do
fix
have (many)
make
repair
CAUSATIVE
QUANTITY",make or do it; fix or repair it; make it be; have so many of it; make or get it (causative),final,TI
"CAUSATIVE
RELATIONAL","causative, relational action",final,TA
"CAUSATIVE
TRANSITIVE",causative/transitivizer,final,TA
"lie (position)
location
recline
step
CAUSATIVE","lie, recline; lie or recline there (rel.); be; be in such a position or location; step; make, get (causative with medials)",final,AI
"make
move
put
place (V)
take
CAUSATIVE","move (change position or location); make, get (causative with medials); put, take, move (with medials)",final,"AI, II"
"hang
snagged
CAUSATIVE","get snagged, hang",final,
"do
fix
have (many)
make
repair
CAUSATIVE",make or do him; fix or repair him; make him be; have so many of him; make or get him (causative),final,TA
"fly (V)
rush
fall
go
speed (V)
CAUSATIVE","fly, rush, fall; go; make, get (causative with medials)",final,"AI, II"
CAUSATIVE,causative,final,"AI, AI+O, TA, TI"
"caught
snagged
CAUSATIVE",get him caught or snagged,final,TA
"caught
snagged
CAUSATIVE",get him caught/snagged,final,TA
"caught
snagged
CAUSATIVE",get it caught or snagged,final,TI
"caught
snagged
CAUSATIVE",get it caught/snagged,final,TI
"illness
pain
CAUSATIVE","make or get him (of illness or pain, causative)",final,TA
CAUSATIVE,make or get one's ... -ed,final,AI
"make
CAUSATIVE","make, get (causitive with medials)",final,AI
"put
place (V)
set
lay
lay down
make
get
CAUSATIVE","put, set or lay him there (rel.); put, set, or lay him down; make or get him (causative)",final,TA
"put
place (V)
set
lay
lay down
make
get
CAUSATIVE","put, set, or lay it there (rel.); put, set, or lay it down; make or get it (causative)",final,TI
CAUSATIVE,"causative, transition in position/state",final,TA
CAUSATIVE,"causative, transition in state",final,AI
"force
hand
CAUSATIVE
MANNER",cause using force/using the hand,final,"TA, TI"
"cutting edge
CAUSATIVE
INSTRUMENT",cause using a cutting edge,final,"TA, TI"
"axe
instrument
CAUSATIVE
INSTRUMENT",cause using an axe/instrument,final,"TA, TI"
"instrument
CAUSATIVE
INSTRUMENT",cause using an instrument,final,"TA, TI"
"body
CAUSATIVE
MANNER",cause using body,final,"TA, TI"
"fire
CAUSATIVE
MANNER",cause using fire,final,"TA, TI"
"body
foot
CAUSATIVE
MANNER",cause using foot/body,final,"TA, TI"
"mouth
tooth
CAUSATIVE
MANNER",cause using the mouth/teeth,final,"TA, TI"
"instrument
CAUSATIVE
INSTRUMENT",cause w/ instrument,final,
"body
foot
CAUSATIVE
MANNER",caused to be by body/foot,final,
"CAUSATIVE
INSTRUMENT",to cause by tool,final,"AI, TA"
"action (cutting)
CAUSATIVE
MANNER",cause using a cutting action,final,"TA, TI"
"motion (sawing)
CAUSATIVE
MANNER",cause using a sawing motion,final,"TA, TI"
"heat
CAUSATIVE
MANNER",cause using heat,final,"TA, TI"
"speech
CAUSATIVE
MANNER",cause using speech,final,"TA, TI"
"action (violent)
CAUSATIVE
MANNER",cause using violent action,final,"TA, TI"
"place (V)
CAUSATIVE","place to, cause to",final,TA
CAUSATIVE,cause,final,"AI2, TA, TI"
"body
CAUSATIVE",cause (in the body),final,"TA, TI"
"cold
CAUSATIVE",cause by cold,final,
"heat
CAUSATIVE",cause by heat,final,
"action (rapid, violent)
CAUSATIVE",cause by rapid or violent action,final,"AI, TA"
"sun
CAUSATIVE",cause by sun,final,
"wind (N)
CAUSATIVE",cause by wind,final,
CAUSATIVE,cause s.o. to,final,TA
CAUSATIVE,cause s.t. to,final,TI
"lie
set
place
CAUSATIVE","cause s.t. to lie, set s.t., place s.t.",final,TI
CAUSATIVE,cause someone,final,AI
"fall
lie
CAUSATIVE","cause to fall, lie",final,TA
"move
CAUSATIVE",cause to move,final,"TA, TI"
"convey
CAUSATIVE",cause; convey,final,AI
CAUSATIVE,caused to be,final,
CAUSATIVE,causing,final,
"lie
CAUSATIVE",make him lie,final,TA
"lie
fall
CAUSATIVE",cause (to lie/be in a state)/cause to fall/cause (by accident),final,"TA, TI"
"length (ropelike)
CLASSIFIER",length (ropelike),final,"AI, II"
COMITATIVE,comitative,final,TA
DENOMINAL,denominative,final,
DERIVATIONAL,derivation marker,final,"AI, II"
DETRANSITIVIZER,general detransitivizer,final,AI
ANTIPASSIVE,detranstivizing general object marker,final,TA
"many
DIMINUTIVE
RELATIVE
QUANTITY",so many (diminutive),final,PART
"small
young
AGENT
DIMINUTIVE","small, young (diminutive); …-er (agentive)",final,"InanDep, AnimDep, NA, NI"
DIMINUTIVE,be (diminutive),final,"II, AI"
DIMINUTIVE,diminutive,final,"N, PART, AI, II, TI, TA, V"
DITRANSITIVE,ditransitive,final,TA
DITRANSITIVE,double goal,final,TA
DITRANSITIVE,double object,final,TA
DITRANSITIVE,double-goal verb,final,TA
DITRANSITIVE,double-object,final,TA
DITRANSITIVE,double-object verb,final,TA
DITRANSITIVE,forms double-object verbs,final,TA
"to
for
DITRANSITIVE","to or for him, to or for him, his; double-object verb",final,TA
DUBITATIVE,dubitative,final,PART
EXISTENTIAL,existential,final,"AI, II"
EXOCENTRIC,exocentric meaning,final,PART
REFLEXIVE,reflexive,final,AI
REFLEXIVE,explicit refl.,final,AI
REFLEXIVE,explicit reflexive,final,"TA, AI"
ANTIPASSIVE,indicates a general goal,final,AI
ANTIPASSIVE,general goal or object,final,
ANTIPASSIVE,general object,final,AI
OBJECT,goal of action,final,TA
OBJECT,goal of the action,final,N
HABITUAL,be a habitual (N),final,AI
HABITUAL,be one who (V)s habitually,final,
HABITUAL,habitual,final,AI
"constantly
HABITUAL","habitual, constantly",final,
"IMPERFECTIVE
PASSIVE",imperfect passive,final,"II, AI"
"IMPERFECTIVE
PASSIVE",imperfective passive,final,"II, AI"
IMPERSONAL,impersonal,final,II
IMPERSONAL,impersonal verb suffix,final,II
"INACTIVE
MIDDLE","inactive condition or state, middle reflexive",final,"AI, II"
"become
INCHOATIVE",come to be a (N),final,AI
INCHOATIVE,inchoative,final,"AI, II"
"move
INCHOATIVE","move, inchoative",final,"II, AI"
INCORPORATED,incorporation,final,AI
"people
someone
INDEFINITE","someone, people (indefinite animate object)",final,"AI, TI, TA"
"something
thing
INDEFINITE","something, things (indefinite inanimate object)",final,TI
INDEFINITE OBJECT,inanimate indefinite (implied instrumental object),final,AI
INDEFINITE OBJECT,inanimate indefinite (implied object),final,AI
INDEFINITE OBJECT,indefinite animate object,final,AI
INDEFINITE OBJECT,indefinite object,final,
INDEFINITE OBJECT,indefinite object,final,"intr, AI"
INDEFINITE OBJECT,"indefinite object, animate",final,
INDEFINITE OBJECT,"indefinite object, inanimate",final,
"body
foot
CAUSATIVE
MANNER","act on, cause with foot or body",final,"TA, TI"
"render
CAUSATIVE
MANNER","act on, render (thus) by hand",final,TI1b
"instrument
medium
tool
INSTRUMENT
MANNER","by tool, by instrument or medium",final,TA
"medium
tool
INSTRUMENT
MANNER","by tool, by medium",final,"TA, TI"
"instrument
medium
tool
INSTRUMENT
MANNER","by tool, instrument, or medium",final,"TA, TI"
"medium
tool
INSTRUMENT
MANNER",by tool or medium,final,TA
"in (water)
with (water)
INSTRUMENT
MANNER",do in/with water,final,
"heat
heated
INSTRUMENT
MIDDLE","be heated, by heat, middle reflexive",final,II
"heat
INSTRUMENT
MIDDLE","by heat, middle reflexive",final,"AI, II"
"kick
movement (body, foot)
put on (clothing)
step on
MANNER",him by foot or body movement; kick or step on him; put him on (of clothing),final,TA
"means
INSTRUMENT","instrument, means",final,N
"write
INSTRUMENT",write by instrument,final,"TA, TI"
"blown
wind (N)
MANNER","blown, moved by wind",final,"AI, II"
"speech
MANNER",act by speech on an animate object,final,TA
"cutting edge
INSTRUMENT",act on (anim.) by cutting edge (causing ...),final,TA
"finger
MANNER",act on by fingers,final,TI1a
"body
foot
MANNER",act on by foot or body,final,
"heat
MANNER",act on by heat,final,TI1b
"mass
weight
MANNER",act on by mass or weight,final,"TA, TI1"
"mass
stick
weight
INSTRUMENT",act on by mass or weight using stick,final,TI1
"tool
INSTRUMENT",act on (inan.) by tool,final,TI1
